id,local_id,nameWithOwner,url,createdAt,stars,releases,age
MDEwOlJlcG9zaXRvcnkzNTU1ODE2Mw==,1fa7993e-0eea-4f20-8db0-362003bbd70c,richardradics/MVPAndroidBootstrap,https://github.com/richardradics/MVPAndroidBootstrap,2015-05-13T15:44:42Z,361,0,8.356164383561644
MDEwOlJlcG9zaXRvcnkxMDYxNTI0NTM=,209568d0-f4c8-484e-9568-a3e8f90eec55,allanzhuo/yyblog,https://github.com/allanzhuo/yyblog,2017-10-08T05:28:58Z,361,0,5.947945205479452
R_kgDOGRP_2Q,b29c79c7-e56a-44e1-9333-3bee037d806f,Cap-go/capacitor-updater,https://github.com/Cap-go/capacitor-updater,2021-10-24T16:49:48Z,360,0,1.9013698630136984
MDEwOlJlcG9zaXRvcnkxNzgxMDc0MzA=,11b7e23d-4a77-4872-93c3-52fd6d92fbad,GoogleCloudPlatform/cloud-code-samples,https://github.com/GoogleCloudPlatform/cloud-code-samples,2019-03-28T02:06:05Z,360,0,4.47945205479452
MDEwOlJlcG9zaXRvcnk4ODQ4NDUxMQ==,4cd53737-5c25-4ce4-a995-298c158ab20b,finnfu/stepcount,https://github.com/finnfu/stepcount,2017-04-17T07:44:22Z,359,0,6.424657534246576
MDEwOlJlcG9zaXRvcnkzMzc5MTQ1Mw==,3f38a08f-5c56-46d1-b266-c9ac2938b7ac,SpongePowered/Sponge,https://github.com/SpongePowered/Sponge,2015-04-11T20:38:48Z,359,19,8.443835616438356
MDEwOlJlcG9zaXRvcnkyMDkyNTM2NA==,e1813cb7-42ba-4c82-adeb-e83eb24e346d,etsy/Conjecture,https://github.com/etsy/Conjecture,2014-06-17T13:54:07Z,358,0,9.26027397260274
MDEwOlJlcG9zaXRvcnkxMjcxNDQ5MzE=,1328eaaa-323c-45a8-96f9-ad3118abe2be,acenelio/springboot2-ionic-backend,https://github.com/acenelio/springboot2-ionic-backend,2018-03-28T13:32:19Z,357,0,5.47945205479452
MDEwOlJlcG9zaXRvcnk2NTI1MTU5Mg==,85f0558c-7909-46c6-bcdf-e1e7ef06345d,boyter/searchcode-server,https://github.com/boyter/searchcode-server,2016-08-09T01:16:11Z,356,18,7.112328767123287
MDEwOlJlcG9zaXRvcnk2OTAwNzE0Mg==,2370eec7-f492-472b-86ef-44b0b1be9d4e,philliphsu/ClockPlus,https://github.com/philliphsu/ClockPlus,2016-09-23T08:49:43Z,356,5,6.989041095890411
MDEwOlJlcG9zaXRvcnk4MTg1MDk4,981403d7-a880-46ed-8600-ed03196d2fb6,opendedup/sdfs,https://github.com/opendedup/sdfs,2013-02-13T18:37:50Z,356,9,10.6
