id,local_id,nameWithOwner,url,createdAt,stars,releases,age
MDEwOlJlcG9zaXRvcnkyMDY0NjI3NzY=,234852f2-096d-4faa-a18f-44954f68ab93,GrowingGit/GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,65365,0,4.038356164383561
MDEwOlJlcG9zaXRvcnkxMTQ4NzUz,2767e709-d682-4ef0-bdb0-273d0b13c44d,spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,2010-12-08T04:04:45Z,53155,268,12.786301369863011
MDEwOlJlcG9zaXRvcnk4OTIyNzU=,82771a58-e655-4d21-a039-d6ea3d0099f5,square/retrofit,https://github.com/square/retrofit,2010-09-06T21:39:43Z,41984,0,13.04109589041096
MDEwOlJlcG9zaXRvcnk0NzEwOTIw,0b752b6f-d45d-4760-b3aa-3c2d97c6c360,apache/dubbo,https://github.com/apache/dubbo,2012-06-19T07:56:02Z,39376,88,11.254794520547945
MDEwOlJlcG9zaXRvcnkxNTkxNTI5MDQ=,e9ca05be-c781-4070-a70d-cabbc71c812d,jeecgboot/jeecg-boot,https://github.com/jeecgboot/jeecg-boot,2018-11-26T10:40:00Z,35853,29,4.813698630136987
MDEwOlJlcG9zaXRvcnkxNDY2MzM1ODk=,586dda95-28e0-45c3-84d3-221db1064c1d,alibaba/arthas,https://github.com/alibaba/arthas,2018-08-29T17:15:57Z,33342,51,5.057534246575343
MDEwOlJlcG9zaXRvcnkyNjc3NzU2Mjk=,187fceaa-f2e6-4864-84a2-4ace1e2e2937,geekxh/hello-algorithm,https://github.com/geekxh/hello-algorithm,2020-05-29T05:47:09Z,33023,0,3.306849315068493
MDEwOlJlcG9zaXRvcnk0NDgwNDIxNg==,f6f82425-cfe5-4814-b630-a9b15c47a0ca,termux/termux-app,https://github.com/termux/termux-app,2015-10-23T09:42:46Z,24685,89,7.909589041095891
MDEwOlJlcG9zaXRvcnk1MzczNTUx,81a3622a-72cc-4200-90de-a5561392317e,libgdx/libgdx,https://github.com/libgdx/libgdx,2012-08-10T19:34:38Z,21936,10,11.112328767123287
MDEwOlJlcG9zaXRvcnkzMzIzNTc2OTg=,b3e77f40-6967-48a6-8209-81d9e2c18866,YunaiV/ruoyi-vue-pro,https://github.com/YunaiV/ruoyi-vue-pro,2021-01-24T03:18:25Z,19858,20,2.649315068493151
MDEwOlJlcG9zaXRvcnk3NTE2NDgyMw==,d9b794d5-2871-460c-a027-81da0be27eb5,apache/rocketmq,https://github.com/apache/rocketmq,2016-11-30T08:00:08Z,19799,15,6.802739726027397
MDEwOlJlcG9zaXRvcnk4MjA1NjAy,39fc94b2-25bb-4286-958f-636b34690f9b,mybatis/mybatis-3,https://github.com/mybatis/mybatis-3,2013-02-14T19:03:32Z,18913,40,10.597260273972603
MDEwOlJlcG9zaXRvcnk2NzQ4MTk4Ng==,5de8f318-decf-4566-a799-618cf2dfec35,Tencent/tinker,https://github.com/Tencent/tinker,2016-09-06T06:57:52Z,16873,54,7.035616438356165
MDEwOlJlcG9zaXRvcnkyODYyMjkw,b983ecef-2fd9-49b0-be44-efbb10c18414,nostra13/Android-Universal-Image-Loader,https://github.com/nostra13/Android-Universal-Image-Loader,2011-11-27T18:48:23Z,16810,0,11.816438356164385
MDEwOlJlcG9zaXRvcnk2OTk1MzQ0NQ==,b78641b3-e1c4-48ce-a575-471eb0da7e65,shuzheng/zheng,https://github.com/shuzheng/zheng,2016-10-04T10:07:06Z,16549,0,6.958904109589041
MDEwOlJlcG9zaXRvcnk3NTI3NzAwMw==,87b53911-2be4-4548-8dff-9e1c8601f942,thingsboard/thingsboard,https://github.com/thingsboard/thingsboard,2016-12-01T09:33:30Z,14347,55,6.8
MDEwOlJlcG9zaXRvcnk2NDA1NDQ3OA==,d224c316-6e31-4085-a5ad-997d29e57a4a,Curzibn/Luban,https://github.com/Curzibn/Luban,2016-07-24T07:43:21Z,13358,6,7.156164383561644
MDEwOlJlcG9zaXRvcnkzMzUxNjQ5NjQ=,ee3bf186-e7ef-487e-a709-45f1e795e582,dataease/dataease,https://github.com/dataease/dataease,2021-02-02T04:10:21Z,12860,56,2.6246575342465754
MDEwOlJlcG9zaXRvcnk4NzU5MTMz,3e2e4a41-5330-47fa-8b62-05253734480d,Netflix/zuul,https://github.com/Netflix/zuul,2013-03-13T18:53:57Z,12857,5,10.523287671232875
MDEwOlJlcG9zaXRvcnkxODEwMTI0MDY=,6eaba73f-a3e5-49c9-81c0-aaf45ec1bc65,macrozheng/mall-learning,https://github.com/macrozheng/mall-learning,2019-04-12T13:20:31Z,12335,0,4.438356164383562
MDEwOlJlcG9zaXRvcnk1MTk4MDQx,1a9afd95-477a-46d1-8704-da4fcb00242e,Netflix/eureka,https://github.com/Netflix/eureka,2012-07-26T22:23:07Z,11986,147,11.153424657534249
MDEwOlJlcG9zaXRvcnkyMDY1MTY3Mg==,44d5740d-fdf5-4cf3-ac89-5b36d08e3580,pagehelper/Mybatis-PageHelper,https://github.com/pagehelper/Mybatis-PageHelper,2014-06-09T15:32:30Z,11828,12,9.282191780821918
MDEwOlJlcG9zaXRvcnkxNjA5OTk=,456233b3-86eb-4a18-82ee-85116cb91e6b,apache/zookeeper,https://github.com/apache/zookeeper,2009-03-27T15:41:56Z,11547,0,14.487671232876712
MDEwOlJlcG9zaXRvcnk0ODM5OTU3,d49be529-ab1b-4083-9ece-f86a48815d20,jfeinstein10/SlidingMenu,https://github.com/jfeinstein10/SlidingMenu,2012-06-30T05:14:23Z,11111,0,11.224657534246576
MDEwOlJlcG9zaXRvcnkzMTE2NzUx,dff20e38-f327-4c54-8218-459ae9f424df,androidannotations/androidannotations,https://github.com/androidannotations/androidannotations,2012-01-06T08:48:03Z,11105,0,11.706849315068494
MDEwOlJlcG9zaXRvcnkxNzMzMzU3MDY=,277ab230-35fb-43a4-ac40-e7823a102d05,apache/dolphinscheduler,https://github.com/apache/dolphinscheduler,2019-03-01T16:39:25Z,11081,48,4.553424657534246
MDEwOlJlcG9zaXRvcnk1NDc4MzQ2Mg==,7a772f41-643e-4543-a11f-a2891454e215,daniulive/SmarterStreaming,https://github.com/daniulive/SmarterStreaming,2016-03-26T14:46:02Z,10621,0,7.484931506849315
MDEwOlJlcG9zaXRvcnk0OTcxMjg0Mw==,d7d1490d-4448-4329-aa6a-9169e9689254,jeasonlzy/okhttp-OkGo,https://github.com/jeasonlzy/okhttp-OkGo,2016-01-15T10:35:24Z,10563,14,7.67945205479452
MDEwOlJlcG9zaXRvcnk3NDc1MTI=,f05b4a1e-2d42-4dbd-8b55-aac0ddd83bcd,clojure/clojure,https://github.com/clojure/clojure,2010-06-29T20:03:33Z,10123,0,13.23013698630137
MDEwOlJlcG9zaXRvcnk0ODQ0NjY4MA==,4fef7be3-f1e2-4cee-ae5c-daf3d13c55f5,googlesamples/easypermissions,https://github.com/googlesamples/easypermissions,2015-12-22T18:05:53Z,9727,12,7.745205479452054
MDEwOlJlcG9zaXRvcnk0NDg4MzA1Mw==,f7bb58d5-3672-46c5-a6ed-61f091e1536b,HarlonWang/AVLoadingIndicatorView,https://github.com/HarlonWang/AVLoadingIndicatorView,2015-10-24T20:18:33Z,9705,1,7.906849315068493
MDEwOlJlcG9zaXRvcnk2MjcyMjgxNA==,f4bbb23a-ad17-47cc-a49e-6787734071e6,asLody/VirtualApp,https://github.com/asLody/VirtualApp,2016-07-06T13:25:23Z,9495,0,7.205479452054795
MDEwOlJlcG9zaXRvcnkxMjAzNTQ4Nw==,da08b3de-a93d-4bc2-9058-d47ff5cef3ef,bilibili/DanmakuFlameMaster,https://github.com/bilibili/DanmakuFlameMaster,2013-08-11T12:18:50Z,9464,5,10.10958904109589
MDEwOlJlcG9zaXRvcnkxNjgwNzMz,9f4cabac-573c-4bb3-b7f1-1eea05464cff,java-native-access/jna,https://github.com/java-native-access/jna,2011-04-29T13:30:29Z,8004,0,12.397260273972602
MDEwOlJlcG9zaXRvcnkxNDY4MTE2OA==,7adf4597-e8c1-4bb9-a7fb-86e891557ebc,JakeWharton/hugo,https://github.com/JakeWharton/hugo,2013-11-25T09:16:40Z,7893,0,9.81917808219178
MDEwOlJlcG9zaXRvcnkxMzUyNzAyODU=,59480b5d-da09-47c3-ba4e-f5041bb4a249,vipshop/vjtools,https://github.com/vipshop/vjtools,2018-05-29T09:07:08Z,7539,9,5.30958904109589
MDEwOlJlcG9zaXRvcnk4Mzc5OTQzOQ==,fa4b3641-9cd2-4e0b-b60b-ada864e32d49,LawnchairLauncher/lawnchair,https://github.com/LawnchairLauncher/lawnchair,2017-03-03T13:12:58Z,7492,25,6.5479452054794525
MDEwOlJlcG9zaXRvcnk3MTcwMDU4,827c508e-a169-4208-b5f1-385eb17d7657,flyway/flyway,https://github.com/flyway/flyway,2012-12-14T18:43:22Z,7374,193,10.767123287671232
MDEwOlJlcG9zaXRvcnk5ODU5NjAwMQ==,ff5a97d1-9dd0-4dbc-b209-445afcb56597,Exrick/xmall,https://github.com/Exrick/xmall,2017-07-28T01:49:49Z,6990,0,6.145205479452055
MDEwOlJlcG9zaXRvcnk0OTgyMDYyNw==,211c5256-3464-4d99-89c6-56fd1ebe69b8,software-mansion/react-native-svg,https://github.com/software-mansion/react-native-svg,2016-01-17T14:29:21Z,6940,97,7.673972602739726
