id,nameWithOwner,url,createdAt,stars,releases,age,cbo,dit,lcom,loc
MDEwOlJlcG9zaXRvcnk4MTk3NTM3Mg==,kdn251/interviews,https://github.com/kdn251/interviews,2017-02-14T18:19:25Z,60358,0,6.575342465753424,1.0,2.0,0.0,5620.0
MDEwOlJlcG9zaXRvcnkxNzMyMjg0MzY=,NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,2019-03-01T03:27:48Z,42572,30,4.534246575342466,4.0,60.0,1.0,1681252.0
MDEwOlJlcG9zaXRvcnkxNDY2MzM1ODk=,alibaba/arthas,https://github.com/alibaba/arthas,2018-08-29T17:15:57Z,33300,51,5.038356164383561,3.0,14.0,1.0,40618.0
