id,nameWithOwner,url,createdAt,updatedAt,primaryLanguage,releases,pullRequests,issues,IssuesClosed,age,timeSinceLastUpdate,reasonIssuesIssuesClosed
MDEwOlJlcG9zaXRvcnkyMzA4ODc0MA==,axios/axios,https://github.com/axios/axios,2014-08-18T22:30:27Z,2023-09-06T18:38:55Z,JavaScript,61,756,4285,3904,3305,0.7252777777777778,0.9110851808634772
MDEwOlJlcG9zaXRvcnkyMDU4MDQ5OA==,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,2014-06-06T22:56:04Z,2023-09-06T18:44:22Z,Go,623,56232,43782,41956,3378,0.6344444444444445,0.9582933625690924
R_kgDOH3JoLw,AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,2023-09-06T19:13:52Z,Python,16,1390,6264,4879,380,0.14277777777777778,0.7788952745849298
MDEwOlJlcG9zaXRvcnk2MzUzNzI0OQ==,facebook/create-react-app,https://github.com/facebook/create-react-app,2016-07-17T14:55:11Z,2023-09-06T17:42:15Z,JavaScript,83,1944,8153,6504,2607,1.6697222222222223,0.797743162026248
MDEwOlJlcG9zaXRvcnkyNzE5Mzc3OQ==,nodejs/node,https://github.com/nodejs/node,2014-11-26T19:57:11Z,2023-09-06T19:02:20Z,JavaScript,353,6727,16507,15138,3205,0.335,0.917065487368995
MDEwOlJlcG9zaXRvcnkxODQ0NTYyNTE=,microsoft/PowerToys,https://github.com/microsoft/PowerToys,2019-05-01T17:44:02Z,2023-09-06T18:13:31Z,C#,84,4142,23661,18482,1589,1.148611111111111,0.7811166053843878
MDEwOlJlcG9zaXRvcnk2MjYwNzIyNw==,yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,2023-09-06T19:15:21Z,TypeScript,0,445,78,58,2619,0.11805555555555555,0.7435897435897436
MDEwOlJlcG9zaXRvcnk1NzYyMDE=,mrdoob/three.js,https://github.com/mrdoob/three.js,2010-03-23T18:58:01Z,2023-09-06T17:18:00Z,JavaScript,148,11230,11891,11515,4915,2.073888888888889,0.9683794466403162
MDEwOlJlcG9zaXRvcnkyMDkyOTAyNQ==,microsoft/TypeScript,https://github.com/microsoft/TypeScript,2014-06-17T15:28:39Z,2023-09-06T18:41:27Z,TypeScript,182,13281,38064,32441,3368,0.6830555555555555,0.8522751155947877
MDEwOlJlcG9zaXRvcnkxMDM2MzM5ODQ=,goldbergyoni/nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,2017-09-15T08:33:19Z,2023-09-06T17:20:48Z,Dockerfile,0,761,311,281,2182,2.027222222222222,0.9035369774919614
MDEwOlJlcG9zaXRvcnkxMTE1ODM1OTM=,Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,2017-11-21T18:00:27Z,2023-09-06T18:20:49Z,C,32,69,3845,2379,2115,1.0269444444444444,0.6187256176853055
MDEwOlJlcG9zaXRvcnkxMzM0NDIzODQ=,denoland/deno,https://github.com/denoland/deno,2018-05-15T01:34:26Z,2023-09-06T19:01:04Z,Rust,241,8971,8381,6969,1940,0.3561111111111111,0.8315236845245197
MDEwOlJlcG9zaXRvcnkxMDAwNjA5MTI=,microsoft/terminal,https://github.com/microsoft/terminal,2017-08-11T18:38:22Z,2023-09-06T15:58:09Z,C++,93,3348,11598,10171,2217,3.4047222222222224,0.8769615450939817
MDEwOlJlcG9zaXRvcnkyNDE5NTMzOQ==,angular/angular,https://github.com/angular/angular,2014-09-18T16:12:01Z,2023-09-06T19:12:09Z,TypeScript,307,3428,25665,24353,3275,0.1713888888888889,0.9488797973894408
MDEwOlJlcG9zaXRvcnkyMzA4MzE1Ng==,mui/material-ui,https://github.com/mui/material-ui,2014-08-18T19:11:54Z,2023-09-06T18:25:33Z,TypeScript,423,16308,17877,16476,3306,0.9480555555555555,0.921631146165464
R_kgDOIj6G7A,f/awesome-chatgpt-prompts,https://github.com/f/awesome-chatgpt-prompts,2022-12-05T13:54:13Z,2023-09-06T19:19:04Z,HTML,0,105,0,0,275,0.05611111111111111,0.0
MDEwOlJlcG9zaXRvcnkzNDUyNjg4NA==,ant-design/ant-design,https://github.com/ant-design/ant-design,2015-04-24T15:37:24Z,2023-09-06T16:47:17Z,TypeScript,602,11946,27476,26551,3057,2.5858333333333334,0.9663342553501237
MDEwOlJlcG9zaXRvcnk3NDc5MTM2Ng==,ryanmcdermott/clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,2016-11-25T22:25:41Z,2023-09-06T19:02:54Z,JavaScript,0,149,147,81,2475,0.32555555555555554,0.5510204081632653
MDEwOlJlcG9zaXRvcnk3MjQ3MTI=,rust-lang/rust,https://github.com/rust-lang/rust,2010-06-16T20:39:03Z,2023-09-06T18:22:07Z,Rust,115,49661,49696,40711,4829,1.0052777777777777,0.8192007405022537
MDEwOlJlcG9zaXRvcnk5MDc5NjY2Mw==,puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,2017-05-09T22:16:13Z,2023-09-06T18:44:47Z,TypeScript,289,3605,6207,5924,2310,0.6275,0.9544063154502981
